Ticker,Date,Open,High,Low,Close,Volume,NomClose
AAPL,2014-12-01,26.27,26.36,24.6,25.44,335256000,115.07
AAPL,2014-12-02,25.09,25.59,24.93,25.34,237395600,114.63
AAPL,2014-12-03,25.59,25.72,25.45,25.63,172253600,115.93
AAPL,2014-12-04,25.6,25.91,25.49,25.53,168178000,115.49
AAPL,2014-12-05,25.64,25.66,25.35,25.43,153275600,115.0
AAPL,2014-12-08,25.23,25.35,24.68,24.85,230659600,112.4
AAPL,2014-12-09,24.36,25.27,24.18,25.23,240832000,114.12
AAPL,2014-12-10,25.29,25.39,24.66,24.75,178261200,111.95
AAPL,2014-12-11,24.82,25.16,24.62,24.68,165606800,111.62
AAPL,2014-12-12,24.42,24.73,24.23,24.26,224112400,109.73
AAPL,2014-12-15,24.47,24.67,23.51,23.93,268872400,108.23
AAPL,2014-12-16,23.52,24.36,23.49,23.6,243162800,106.75
AAPL,2014-12-17,23.68,24.28,23.62,24.19,213647200,109.41
AAPL,2014-12-18,24.73,24.91,24.47,24.91,236024800,112.65
AAPL,2014-12-19,24.82,25.04,24.69,24.71,353719200,111.78
AAPL,2014-12-22,24.8,25.09,24.76,24.97,180670000,112.94
AAPL,2014-12-23,25.03,25.06,24.86,24.88,104113600,112.54
AAPL,2014-12-24,24.89,24.92,24.76,24.76,57918400,112.01
AAPL,2014-12-26,24.78,25.32,24.76,25.2,134884000,113.99
AAPL,2014-12-29,25.16,25.37,25.14,25.18,110395600,113.91
AAPL,2014-12-30,25.12,25.19,24.79,24.88,119526000,112.52
AAPL,2014-12-31,24.94,25.01,24.37,24.4,165613600,110.38
AAPL,2015-01-02,24.63,24.64,23.73,24.17,212818400,109.33
AAPL,2015-01-05,23.94,24.02,23.31,23.49,257142000,106.25
AAPL,2015-01-06,23.55,23.75,23.13,23.49,263188400,106.26
AAPL,2015-01-07,23.7,23.92,23.59,23.82,160423600,107.75
AAPL,2015-01-08,24.15,24.8,24.03,24.74,237458000,111.89
AAPL,2015-01-09,24.91,25.04,24.37,24.76,214798000,112.01
AAPL,2015-01-12,24.89,24.9,24.05,24.15,198603200,109.25
AAPL,2015-01-13,24.64,24.94,24.08,24.37,268367600,110.22
AAPL,2015-01-14,24.11,24.43,23.99,24.28,195826400,109.8
AAPL,2015-01-15,24.32,24.33,23.58,23.62,240056000,106.82
AAPL,2015-01-16,23.66,23.78,23.26,23.43,314053200,105.99
AAPL,2015-01-20,23.84,24.09,23.55,24.04,199599600,108.72
AAPL,2015-01-21,24.09,24.55,23.94,24.22,194303600,109.55
AAPL,2015-01-22,24.38,24.87,24.26,24.85,215185600,112.4
AAPL,2015-01-23,24.83,25.15,24.66,24.98,185859200,112.98
AAPL,2015-01-26,25.15,25.28,24.94,25.01,222460000,113.1
AAPL,2015-01-27,24.85,24.87,24.11,24.13,382274800,109.14
AAPL,2015-01-28,26.01,26.12,25.49,25.49,585908400,115.31
AAPL,2015-01-29,25.72,26.35,25.55,26.29,337745600,118.9
AAPL,2015-01-30,26.18,26.53,25.83,25.9,334982000,117.16
AAPL,2015-02-02,26.1,26.35,25.66,26.23,250956400,118.63
AAPL,2015-02-03,26.2,26.33,26.0,26.23,207662800,118.65
AAPL,2015-02-04,26.2,26.64,26.16,26.43,280598800,119.56
AAPL,2015-02-05,26.64,26.69,26.47,26.62,168984800,119.94
AAPL,2015-02-06,26.64,26.69,26.29,26.4,174826400,118.93
AAPL,2015-02-09,26.31,26.6,26.29,26.57,155559200,119.72
AAPL,2015-02-10,26.67,27.11,26.67,27.08,248034000,122.02
AAPL,2015-02-11,27.25,27.73,27.19,27.72,294247200,124.88
AAPL,2015-02-12,27.98,28.3,27.87,28.07,297898000,126.46
AAPL,2015-02-13,28.25,28.25,27.89,28.21,217088800,127.08
AAPL,2015-02-17,28.3,28.61,28.17,28.37,252609600,127.83
AAPL,2015-02-18,28.33,28.58,28.29,28.57,179566800,128.72
AAPL,2015-02-19,28.52,28.64,28.48,28.51,149449600,128.45
AAPL,2015-02-20,28.55,28.74,28.42,28.74,195793600,129.5
AAPL,2015-02-23,28.86,29.52,28.78,29.52,283896400,133.0
AAPL,2015-02-24,29.51,29.65,29.11,29.34,276912400,132.17
AAPL,2015-02-25,29.2,29.21,28.44,28.59,298846800,128.79
AAPL,2015-02-26,28.59,29.05,28.1,28.95,365150000,130.42
AAPL,2015-02-27,28.86,28.98,28.46,28.51,248059200,128.46
AAPL,2015-03-02,28.69,28.92,28.48,28.65,192386800,129.09
AAPL,2015-03-03,28.62,28.75,28.43,28.71,151265200,129.36
AAPL,2015-03-04,28.66,28.76,28.48,28.53,126665200,128.54
